name,website,category,contact_name,contact_role,contact_email
Biotech Laboratories,https://www.biotech.co.za,Biotech,Johan Zandberg,Sales & Marketing Exec,info@biotechlabs.co.za
Lancet Laboratories,https://www.lancet.co.za,Clinical Pathology,Admin Desk,Client Services,service@lancet.co.za
Microchem,https://microchem.co.za,Food & Pesticide,Marketing Team,General,info@microchem.co.za
Next Biosciences,https://nextbio.co.za,Genetics/Stem Cell,Medical Liaison,Business Dev,info@nextbio.co.za
SGS South Africa,https://www.sgs.com/en-za,Industrial Testing,Sales Team,Lab Services,enquiries.za@sgs.com
Charles River Labs,https://www.criver.com,Preclinical CRO,Business Dev,Global Sales,askcharlesriver@crl.com
WuXi AppTec,https://www.wuxiapptec.com,Biotech/Pharma,Media Relations,PR Dept,mediainquiries@wuxiapptec.com
Eurofins Genomics,https://www.eurofinsgenomics.eu,Genomics,Quality Manager,QA Dept,genomics-support@eurofins.com
Trinity Biotech,https://trinitybiotech.com,Diagnostics,Sales Support,Global Sales,info@trinitybiotech.com
ICON plc,https://www.iconplc.com,Clinical CRO,Investor Relations,Corporate,IR@iconplc.com
IQVIA,https://www.iqvia.com,Data/Clinical,Sales Team,Global,info@iqvia.com
PPD (Thermo Fisher),https://www.ppd.com,Pharma CRO,PPD Enquiries,General,ppd-info@ppd.com
ALS Global,https://www.alsglobal.com,Environmental,Client Services,Global,clientservices@alsglobal.com
Steris AST,https://www.steris-ast.com,Sterilization,Tech Team,Technical Support,steris_ast@steris.com
Intertek,https://www.intertek.com,Testing/Cert,Business Team,Global,info@intertek.com
Agilent Technologies,https://www.agilent.com,Equipment/Services,Sales,Global,contact_us@agilent.com
Bureau Veritas,https://www.bureauveritas.com,Commodities,Sales,General,contact.us@bureauveritas.com
TÜV SÜD,https://www.tuvsud.com,Certification,Service Center,Compliance,info@tuvsud.com
UL Solutions,https://www.ul.com,Safety,Customer Service,Global,CEC.us@ul.com
BSI Group,https://www.bsigroup.com,Standards,Sales,ISO Certs,cservices@bsigroup.com
